Product,;,Material,;,Material virgem (V),;,Materiais recuperados EoL (Rr),;,Waste produzido na reciclagem (Wc),;,Waste total produzido (W),;,Waste radioactivo (Wr),;,Materiais reciclados (R) (+ Burden Free) (-cr),;,Energia necessária para produção das matérias/produtos principais,;,Energia necessária para produção das matérias/produtos secundário,;,Waste na produção de materiais (Wf) - ws,;,Input de Valor Reciclado (Ri) - fr,;,Massa (V+Ri),;,Tempo de Vida Útil (anos)/Vida útil em média (anos),;,Utilidade do Produto (U) - nº utilizações/Média (anos),;,f(x),;,LFI,;,MCIp,;,MCI Total
Garrafa,;,"polyethylene terephthalate 
(PET) granulate",;,247.0,;,103.15,;,40.11,;,0.0,;,0.0,;,143.26,;,1.28,;,0.58,;,103.74,;,246.41,;,493.40999999999997,;,0.0,;,0.0,;,NaN,;,0.38369975506437537,;,NaN,;,NaN
Garrafa,;,Low-density polyethylene (LD-PE),;,730.0,;,270.98,;,152.4,;,0.0,;,0.0,;,423.4,;,1.36,;,0.58,;,306.0,;,694.38,;,1424.38,;,0.0,;,0.0,;,NaN,;,0.406424752867827,;,NaN,;,NaN
Garrafa,;,adhesive PUR,;,23.0,;,0.0,;,9.66,;,0.0,;,0.0,;,13.34,;,1.72,;,0.58,;,9.66,;,13.34,;,36.34,;,0.0,;,0.0,;,NaN,;,0.6329113924050632,;,NaN,;,NaN
